COUNT,X,Y,Zebra,Wildebeest,Elephant,Buffalo,Shoats,Cattle,Giraffe,Grant's Gazelles,Thomson's gazelles
1/2/1978,37.74029,-2.826,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.74033,-2.78077,2.9,0.0,0.0,0.0,0.0,0.0,0.7,7.1,0.0
1/2/1978,37.74043,-2.69032,0.0,0.0,0.0,0.0,0.0,268.6,0.0,1.4,0.0
1/2/1978,37.74052,-2.59986,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
1/2/1978,37.7406,-2.5094,0.0,26.4,0.0,0.0,0.0,0.0,2.9,0.0,0.0
1/2/1978,37.78512,-2.96174,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.78522,-2.87128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,5.0
1/2/1978,37.78526,-2.82605,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.78549,-2.5999,15.0,12.9,0.0,0.0,2.2,0.0,0.0,2.9,0.0
1/2/1978,37.83015,-2.91656,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,9.3
1/2/1978,37.8302,-2.87133,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1/2/1978,37.83024,-2.8261,2.9,0.0,0.0,0.0,52.9,120.0,5.0,0.0,0.0
1/2/1978,37.83033,-2.73564,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
1/2/1978,37.83046,-2.59994,9.3,18.6,0.0,0.0,0.0,0.0,0.0,6.4,0.0
1/2/1978,37.87509,-2.96184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0
1/2/1978,37.87522,-2.82614,0.0,0.0,0.0,0.0,0.0,0.7,0.0,20.0,0.0
1/2/1978,37.87526,-2.78091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
1/2/1978,37.87531,-2.73568,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
1/2/1978,37.92024,-2.78095,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
1/1/1980,36.84148,-2.50823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0
1/1/1980,36.84156,-2.46302,0.0,0.0,0.0,0.0,0.0,30.7,0.0,0.0,0.0
1/1/1980,36.84163,-2.41781,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
1/1/1980,36.88643,-2.50831,0.0,0.0,0.0,0.0,38.6,12.2,0.0,0.0,0.0
1/1/1980,36.8865,-2.4631,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0
1/1/1980,36.88657,-2.41789,0.0,0.0,0.0,0.0,0.0,27.8,1.4,6.4,0.0
1/1/1980,36.9313,-2.55359,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.0
1/1/1980,36.93151,-2.41795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
1/1/1980,36.97625,-2.55366,0.0,0.0,0.0,0.0,0.0,42.2,0.0,2.2,2.9
1/1/1980,36.97639,-2.46323,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0
1/1/1980,36.97652,-2.37281,0.0,0.0,0.0,0.0,0.0,114.3,0.7,0.0,0.0
1/1/1980,37.02106,-2.64416,0.0,0.0,0.0,0.0,0.0,82.2,0.0,0.0,0.0
1/1/1980,37.02113,-2.59894,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/1/1980,37.0212,-2.55373,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/1/1980,37.0214,-2.41809,0.0,0.0,0.0,0.0,0.0,68.6,0.0,0.0,0.0
1/1/1980,37.02147,-2.37287,0.0,0.0,0.0,0.0,0.0,70.7,0.0,5.7,0.0
1/1/1980,37.02153,-2.32766,0.0,0.0,0.0,0.0,0.0,43.6,0.0,1.4,0.0
1/1/1980,37.06609,-2.59901,42.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/1/1980,37.06616,-2.5538,0.0,0.0,0.0,0.0,0.0,119.3,0.0,8.6,0.0
1/1/1980,37.06622,-2.50858,0.0,0.0,0.0,0.0,3.6,41.4,0.0,0.7,0.0
1/1/1980,37.06635,-2.41815,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
1/1/1980,37.06641,-2.37294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0
1/1/1980,37.06648,-2.32772,0.0,0.0,0.0,0.0,0.0,11.4,0.0,7.1,0.0
1/1/1980,37.06654,-2.28251,0.0,0.0,0.0,0.0,0.0,77.1,2.2,0.0,0.0
1/1/1980,37.11091,-2.68951,5.7,0.0,0.0,0.0,125.0,0.0,2.9,0.0,0.0
1/1/1980,37.11098,-2.64429,0.0,32.9,4.3,0.0,0.0,0.0,0.0,16.4,0.0
1/1/1980,37.11104,-2.59908,7.8,21.4,0.0,0.0,0.0,0.0,0.0,0.7,0.0
1/1/1980,37.11111,-2.55386,0.0,10.7,0.0,0.0,0.0,0.0,0.0,2.2,7.8
1/1/1980,37.11117,-2.50865,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
1/1/1980,37.1113,-2.41821,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
1/1/1980,37.11136,-2.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.2
1/1/1980,37.11142,-2.32778,0.0,0.0,0.0,0.0,77.8,160.7,0.0,1.4,0.0
1/1/1980,37.11148,-2.28257,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.7,0.0
1/1/1980,37.11154,-2.23735,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
1/1/1980,37.15587,-2.68958,7.8,0.0,0.0,0.0,0.0,0.0,0.7,5.7,0.0
1/1/1980,37.15593,-2.64436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
1/1/1980,37.156,-2.59915,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/1/1980,37.15606,-2.55393,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/1/1980,37.15613,-2.50871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
1/1/1980,37.15619,-2.46349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0
1/1/1980,37.15625,-2.41828,0.0,0.0,0.0,0.0,154.3,25.0,12.2,0.0,0.0
1/1/1980,37.15631,-2.37306,0.0,0.0,0.0,0.0,168.6,85.7,0.0,1.4,0.0
1/1/1980,37.15637,-2.32784,0.0,0.0,0.0,0.0,35.0,15.7,5.0,0.0,0.0
1/1/1980,37.15643,-2.28262,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
1/1/1980,37.15648,-2.23741,0.0,0.0,0.0,0.0,0.0,2.2,0.7,0.0,0.0
1/1/1980,37.15654,-2.19219,0.0,0.0,0.0,0.0,78.6,148.6,0.0,0.0,0.0
1/1/1980,37.20076,-2.73486,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/1/1980,37.20083,-2.68965,3.6,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0
1/1/1980,37.20089,-2.64443,0.0,2.2,2.2,0.7,0.0,0.0,0.0,14.3,0.0
1/1/1980,37.20096,-2.59921,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
1/1/1980,37.20102,-2.55399,6.4,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/1/1980,37.20108,-2.50877,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
1/1/1980,37.20114,-2.46355,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/1/1980,37.2012,-2.41834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
1/1/1980,37.20126,-2.37312,0.0,0.0,0.0,0.0,9.3,254.3,0.0,6.4,0.0
1/1/1980,37.20132,-2.3279,0.0,0.0,0.0,0.0,265.7,0.0,0.0,0.0,0.0
1/1/1980,37.20137,-2.28268,0.0,0.0,0.0,0.0,2.2,0.0,0.0,2.2,0.0
1/1/1980,37.20143,-2.23746,0.0,0.0,0.0,0.0,0.0,277.1,0.0,0.0,0.0
1/1/1980,37.20153,-2.14703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0
1/1/1980,37.24572,-2.73493,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0
1/1/1980,37.24579,-2.68971,5.7,0.0,0.0,0.0,111.4,69.3,0.0,1.4,0.0
1/1/1980,37.24585,-2.64449,71.4,92.2,0.0,0.0,0.0,0.0,0.7,1.4,0.0
